tag_number,n_rows_total,n_unique_timestamps,n_train_rows,n_val_rows,n_test_rows,train_start,train_end,val_start,val_end,test_start,test_end
202039,15689,15689,10982,2353,2354,2020-05-26 13:45:00+00:00,2020-09-17 23:00:00+00:00,2020-09-17 23:15:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202040,15689,15689,10982,2353,2354,2020-05-26 13:45:00+00:00,2020-09-17 23:00:00+00:00,2020-09-17 23:15:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202043,15668,15668,10967,2350,2351,2020-05-26 19:00:00+00:00,2020-09-18 00:30:00+00:00,2020-09-18 00:45:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202045,15687,15687,10980,2353,2354,2020-05-26 14:15:00+00:00,2020-09-17 23:00:00+00:00,2020-09-17 23:15:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202046,15667,15667,10966,2350,2351,2020-05-26 19:15:00+00:00,2020-09-18 00:30:00+00:00,2020-09-18 00:45:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202048,15592,15592,10914,2339,2339,2020-05-27 14:00:00+00:00,2020-09-18 06:15:00+00:00,2020-09-18 06:30:00+00:00,2020-10-12 15:00:00+00:00,2020-10-12 15:15:00+00:00,2020-11-05 23:45:00+00:00
202049,15685,15685,10979,2353,2353,2020-05-26 14:45:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202050,14055,14055,9838,2108,2109,2020-05-26 14:00:00+00:00,2020-09-06 01:15:00+00:00,2020-09-06 01:30:00+00:00,2020-09-28 00:15:00+00:00,2020-09-28 00:30:00+00:00,2020-10-19 23:30:00+00:00
202051,15687,15687,10980,2353,2354,2020-05-26 14:15:00+00:00,2020-09-17 23:00:00+00:00,2020-09-17 23:15:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202052,15670,15670,10969,2350,2351,2020-05-26 18:30:00+00:00,2020-09-18 00:30:00+00:00,2020-09-18 00:45:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202053,15668,15668,10967,2350,2351,2020-05-26 19:00:00+00:00,2020-09-18 00:30:00+00:00,2020-09-18 00:45:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202054,15684,15684,10978,2353,2353,2020-05-26 15:00:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202055,15670,15670,10969,2350,2351,2020-05-26 18:30:00+00:00,2020-09-18 00:30:00+00:00,2020-09-18 00:45:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202056,15671,15671,10969,2351,2351,2020-05-26 18:15:00+00:00,2020-09-18 00:15:00+00:00,2020-09-18 00:30:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202060,15461,15461,10822,2319,2320,2020-05-27 05:00:00+00:00,2020-09-16 22:15:00+00:00,2020-09-16 22:30:00+00:00,2020-10-11 02:00:00+00:00,2020-10-11 02:15:00+00:00,2020-11-04 06:00:00+00:00
202061,15647,15647,10952,2347,2348,2020-05-27 00:15:00+00:00,2020-09-18 02:00:00+00:00,2020-09-18 02:15:00+00:00,2020-10-12 12:45:00+00:00,2020-10-12 13:00:00+00:00,2020-11-05 23:45:00+00:00
202062,15671,15671,10969,2351,2351,2020-05-26 18:15:00+00:00,2020-09-18 00:15:00+00:00,2020-09-18 00:30:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202063,15686,15686,10980,2353,2353,2020-05-26 14:30:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202064,15628,15628,10939,2344,2345,2020-05-27 05:00:00+00:00,2020-09-18 03:30:00+00:00,2020-09-18 03:45:00+00:00,2020-10-12 13:30:00+00:00,2020-10-12 13:45:00+00:00,2020-11-05 23:45:00+00:00
202065,15686,15686,10980,2353,2353,2020-05-26 14:30:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202066,15687,15687,10980,2353,2354,2020-05-26 14:15:00+00:00,2020-09-17 23:00:00+00:00,2020-09-17 23:15:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202067,15686,15686,10980,2353,2353,2020-05-26 14:30:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202068,15686,15686,10980,2353,2353,2020-05-26 14:30:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202069,15691,15691,10983,2354,2354,2020-05-26 13:15:00+00:00,2020-09-17 22:45:00+00:00,2020-09-17 23:00:00+00:00,2020-10-12 11:15:00+00:00,2020-10-12 11:30:00+00:00,2020-11-05 23:45:00+00:00
202070,15686,15686,10980,2353,2353,2020-05-26 14:30:00+00:00,2020-09-17 23:15:00+00:00,2020-09-17 23:30:00+00:00,2020-10-12 11:30:00+00:00,2020-10-12 11:45:00+00:00,2020-11-05 23:45:00+00:00
202071,14889,14889,10422,2233,2234,2020-06-03 21:45:00+00:00,2020-09-20 11:00:00+00:00,2020-09-20 11:15:00+00:00,2020-10-13 17:15:00+00:00,2020-10-13 17:30:00+00:00,2020-11-05 23:45:00+00:00
202072,17393,17393,12175,2609,2609,2020-05-08 19:45:00+00:00,2020-09-12 15:15:00+00:00,2020-09-12 15:30:00+00:00,2020-10-09 19:30:00+00:00,2020-10-09 19:45:00+00:00,2020-11-05 23:45:00+00:00
202073,15591,15591,10913,2339,2339,2020-05-27 14:15:00+00:00,2020-09-18 06:15:00+00:00,2020-09-18 06:30:00+00:00,2020-10-12 15:00:00+00:00,2020-10-12 15:15:00+00:00,2020-11-05 23:45:00+00:00
202074,15471,15471,10829,2321,2321,2020-05-28 20:15:00+00:00,2020-09-18 15:15:00+00:00,2020-09-18 15:30:00+00:00,2020-10-12 19:30:00+00:00,2020-10-12 19:45:00+00:00,2020-11-05 23:45:00+00:00
202109,15671,15671,10969,2351,2351,2020-05-26 18:15:00+00:00,2020-09-18 00:15:00+00:00,2020-09-18 00:30:00+00:00,2020-10-12 12:00:00+00:00,2020-10-12 12:15:00+00:00,2020-11-05 23:45:00+00:00
202110,15628,15628,10939,2344,2345,2020-05-27 05:00:00+00:00,2020-09-18 03:30:00+00:00,2020-09-18 03:45:00+00:00,2020-10-12 13:30:00+00:00,2020-10-12 13:45:00+00:00,2020-11-05 23:45:00+00:00
